channel_title,title,views,likes,dislikes
Saad Lamjarred | سعد لمجرد,Saad Lamjarred - Ghazali (EXCLUSIVE Music Video) | 2018 | سعد لمجرد - غزالي ( فيديو كليب حصرياً),18246279,565896,82564
jypentertainment,TWICE Heart Shaker M/V,18195959,754797,65327
SpaceX,Falcon Heavy Test Flight,18026231,358134,10893
jbalvinVEVO,"J. Balvin, Jeon, Anitta - Machika",17746785,585588,43239
How Ridiculous,BOWLING BALL Vs. TRAMPOLINE from 45m!,17613868,373735,36817
Lil pump,Lil Pump - ESSKEETIT (Official Music Video),17607193,1152808,71311
Maroon5VEVO,Maroon 5 - Girls Like You ft. Cardi B,17301320,1207659,17463
Dude Perfect,Real Life Trick Shots 2 | Dude Perfect,17228602,784293,9287
EminemVEVO,Eminem - Walk On Water (Audio) ft. Beyoncé,17158579,787425,43420
DrakeVEVO,Drake - God’s Plan,17059675,1431551,12850
Eurovision Song Contest,Netta - Toy - Israel - LIVE - Grand Final - Eurovision 2018,17024669,147331,283690
David Dobrik,we broke up,16884972,1366756,59931
Ed Sheeran,Ed Sheeran - Happier (Official Video),16809675,945894,20400
SpaceX,Falcon Heavy Test Flight,16806832,338792,9761
Disney•Pixar,Incredibles 2 - Olympics Sneak Peek,16550931,365542,10810
MalumaVEVO,Maluma - El Préstamo (Official Video),16158061,303540,20676
Marvel Entertainment,Marvel Studios’ Avengers: Infinity War - Big Game Spot,16141230,309557,7190
SelenaGomezVEVO,Selena Gomez - Back To You,16106570,1007250,32071
Dharma Productions,Dhadak | Official Trailer | Janhvi & Ishaan | Shashank Khaitan | Karan Johar,15969920,308382,36675
